starttime	seconds	ctime	dtime	ttime	wait
Fri Jun 17 16:21:56 2011	1308320516	0	15	15	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	15	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	15	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	15	15
Fri Jun 17 16:21:55 2011	1308320515	0	15	15	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	15	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	15	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	15	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	15	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	15	15
Fri Jun 17 16:21:55 2011	1308320515	0	15	16	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	16	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	16	15
Fri Jun 17 16:21:56 2011	1308320516	0	15	16	15
Fri Jun 17 16:21:55 2011	1308320515	0	15	16	15
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	15
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	16	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	17	16
Fri Jun 17 16:21:55 2011	1308320515	0	16	17	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	17	16
Fri Jun 17 16:21:56 2011	1308320516	0	16	17	16
Fri Jun 17 16:21:56 2011	1308320516	0	17	17	17
Fri Jun 17 16:21:55 2011	1308320515	0	17	17	17
